DATE,M4,TA,FFR,CC,NGDP
2016-04,0.009999999999999787,0.0,-0.009999999999999995,8.881784197001252e-16,0.019999999999999574
2016-05,0.0,-0.009999999999999787,0.010000000000000009,0.0,-0.019999999999999574
2016-06,0.0,0.0,0.0,0.0,0.0
2016-07,-0.009999999999999787,0.0,0.010000000000000009,0.009999999999999787,0.030000000000001137
2016-08,0.009999999999999787,0.0,0.0,-0.010000000000000675,-0.030000000000001137
2016-09,0.0,0.0,0.0,0.0,0.0
2016-10,0.0,0.0,0.020000000000000018,0.0,0.0400000000000027
2016-11,0.0,0.0,0.009999999999999953,0.0,-0.0400000000000027
2016-12,0.0,0.0,0.010000000000000064,0.0,0.0
2017-01,-0.010000000000000675,0.0,0.009999999999999953,8.881784197001252e-16,0.03999999999999915
