DATE,M4,TA,FFR,CC,NGDP,I
2016-06,0.019999999999999574,-0.040000000000000924,0.22,-0.009999999999998899,0.0,2.7800000000000002
2016-07,0.0,-0.02999999999999936,0.22,0.010000000000000675,3.552713678800501e-15,2.38
2016-08,0.009999999999999787,-0.02999999999999936,0.21,-0.010000000000000675,0.0,2.3
2016-09,0.009999999999999787,-0.019999999999999574,0.21,-0.010000000000000675,0.0,3.21
2016-10,0.019999999999999574,-0.019999999999999574,0.25,-0.010000000000000675,0.020000000000003126,3.04
2016-11,0.009999999999999787,-0.009999999999999787,0.26,-0.010000000000000675,0.0,2.0300000000000002
2016-12,0.009999999999999787,-0.009999999999999787,0.18000000000000005,0.0,0.0,1.4199999999999997
2017-01,-8.881784197001252e-16,-0.009999999999999787,0.08999999999999997,8.881784197001252e-16,0.019999999999999574,-0.20000000000000018
2017-02,0.009999999999999787,-0.009999999999999787,0.010000000000000009,8.881784197001252e-16,0.0,0.96
2017-03,0.0,-0.009999999999999787,0.18000000000000005,8.881784197001252e-16,0.0,0.59
2017-04,0.0,-0.009999999999999787,0.29000000000000004,-8.881784197001252e-16,0.020000000000003126,-0.22999999999999998
2017-05,-0.009999999999999787,0.009999999999999787,0.29000000000000004,-8.881784197001252e-16,0.0,-0.2400000000000002
2017-06,-0.009999999999999787,0.009999999999999787,0.41000000000000003,0.009999999999998899,0.0,-0.3200000000000003
2017-07,0.009999999999999787,0.009999999999999787,0.4999999999999999,-0.010000000000000675,0.00999999999999801,0.22999999999999998
2017-08,-0.009999999999999787,0.009999999999999787,0.4999999999999999,0.010000000000000675,0.0,0.05999999999999983
2017-09,0.0,0.009999999999999787,0.4899999999999999,0.010000000000000675,0.0,-0.8600000000000001
2017-10,0.0,0.009999999999999787,0.46999999999999986,0.010000000000000675,0.009999999999994458,-1.2200000000000002
2017-11,8.881784197001252e-16,0.009999999999999787,0.46,8.881784197001252e-16,0.0,-0.71
2017-12,8.881784197001252e-16,0.009999999999999787,0.45999999999999996,0.010000000000000675,0.0,-1.3599999999999994
2018-01,0.010000000000001563,0.009999999999999787,0.4599999999999999,-8.881784197001252e-16,0.010000000000001563,-1.6899999999999997
2018-02,-0.009999999999999787,0.0,0.47999999999999987,0.009999999999998899,0.0,-2.42
2018-03,0.009999999999999787,0.0,0.2899999999999999,0.009999999999999787,0.0,-1.5300000000000002
2018-04,-0.009999999999999787,-0.010000000000001563,0.2599999999999999,8.881784197001252e-16,0.01999999999999602,-0.79
2018-05,0.0,-0.030000000000001137,0.2499999999999999,0.010000000000000675,0.0,0.07000000000000028
2018-06,0.009999999999999787,-0.030000000000001137,0.12,8.881784197001252e-16,0.0,0.6000000000000001
2018-07,-0.009999999999999787,-0.040000000000000924,1.1102230246251565e-16,0.010000000000000675,0.010000000000001563,0.28000000000000014
2018-08,0.009999999999999787,-0.05000000000000071,1.1102230246251565e-16,-0.010000000000000675,0.0,-0.1599999999999997
2018-09,-0.009999999999999787,-0.0600000000000005,0.060000000000000164,-8.881784197001252e-16,0.0,-0.6300000000000001
2018-10,-0.009999999999999787,-0.07000000000000028,0.29000000000000015,-0.010000000000000675,-0.009999999999994458,0.16000000000000014
2018-11,-0.02000000000000135,-0.08000000000000007,0.29000000000000026,0.009999999999999787,0.0,-0.5399999999999998
2018-12,-0.010000000000000675,-0.08999999999999986,0.20999999999999996,-0.009999999999999787,0.0,-0.23000000000000043
2019-01,-0.010000000000000675,-0.09999999999999964,0.21000000000000008,8.881784197001252e-16,-0.010000000000001563,-0.16999999999999993
2019-02,0.009999999999999787,-0.09000000000000163,0.22000000000000008,-0.019999999999998685,0.0,-0.24
2019-03,-0.009999999999999787,-0.10000000000000142,0.18000000000000016,-0.020000000000000462,0.0,-0.46999999999999953
2019-04,0.009999999999999787,-0.0799999999999983,-0.05999999999999994,-0.010000000000000675,-0.029999999999997584,-0.69
2019-05,0.009999999999999787,-0.0799999999999983,-0.09999999999999976,-0.020000000000000462,0.0,-1.79
2019-06,0.0,-0.08999999999999808,-0.2200000000000002,-0.03000000000000025,0.0,-2.32
2019-07,0.009999999999999787,-0.0799999999999983,-0.27,-0.020000000000000462,-0.010000000000001563,-2.22
2019-08,8.881784197001252e-16,-0.06999999999999851,-0.55,-0.009999999999999787,0.0,-1.6400000000000003
2019-09,0.010000000000000675,-0.03999999999999915,-0.73,-0.02999999999999936,0.0,-0.6099999999999997
2019-10,0.020000000000000462,0.019999999999999574,-1.4,-0.009999999999998899,-3.552713678800501e-15,-1.2599999999999998
2019-11,0.040000000000000924,0.0600000000000005,-1.6900000000000004,-0.020000000000000462,0.0,-0.15000000000000036
2019-12,0.019999999999999574,0.09999999999999964,-1.69,-0.010000000000000675,0.0,0.52
